#timestamp,#frame_is_ok,#U1,#current1,#activepow1
1732551015.808586358,true,227.0,3.3,749.5
1732551015.818819948,true,227.7,3.3,754.4
1732551015.828483301,true,227.7,3.3,754.4
1732551015.838726988,true,227.7,3.4,759.3
1732551015.848483246,true,227.0,3.3,754.5
1732551015.858727432,true,227.7,3.4,759.3
1732551015.868902542,true,227.7,3.4,759.3
1732551015.878586916,true,227.6,3.4,762.8
1732551015.888902714,true,226.9,3.4,757.9
1732551015.898586047,true,227.6,3.4,762.8
1732551015.908399853,true,227.6,3.4,762.8
1732551015.918727346,true,227.6,3.3,758.4
1732551015.928819420,true,227.6,3.3,758.4
1732551015.938586670,true,227.6,3.3,758.4
1732551015.948817816,true,226.8,3.3,753.6
1732551015.958586064,true,227.5,3.3,758.6
1732551015.968821029,true,227.5,3.3,758.6
1732551015.978586577,true,227.5,3.3,758.6
1732551015.988734259,true,227.5,3.3,758.6
1732551015.998482627,true,227.6,3.3,757.8
1732551016.008735434,true,227.6,3.3,757.8
1732551016.018485804,true,227.6,3.3,757.8
1732551016.028731987,true,226.8,3.3,753.0
1732551016.038402485,true,227.6,3.3,749.8
1732551016.048584980,true,227.6,3.3,749.8
1732551016.058401660,true,227.6,3.3,749.8
1732551016.068725902,true,227.6,3.3,749.8
1732551016.078395598,true,227.6,3.3,745.3
1732551016.088585522,true,226.9,3.3,740.6
1732551016.098313952,true,227.6,3.3,745.3
1732551016.108584885,true,227.6,3.3,745.3
1732551016.118312955,true,227.7,3.3,754.1
1732551016.128586198,true,227.0,3.3,749.3
1732551016.138310710,true,227.7,3.3,754.1
1732551016.148486453,true,227.7,3.3,754.1
1732551016.158725078,true,227.8,3.3,756.0
1732551016.168481393,true,227.8,3.3,756.0
1732551016.178725872,true,227.1,3.3,751.2
1732551016.188481291,true,227.8,3.3,756.0
1732551016.198730560,true,228.0,3.3,755.3
1732551016.208394689,true,228.0,3.3,755.3
1732551016.218721476,true,228.0,3.3,755.3
1732551016.228393936,true,227.2,3.3,750.5
1732551016.238721015,true,227.6,3.4,764.3
1732551016.248397128,true,227.6,3.4,764.3
1732551016.258584312,true,227.6,3.4,764.3
1732551016.268309584,true,227.6,3.4,764.3
1732551016.278585399,true,227.5,3.3,753.3
1732551016.288310447,true,226.7,3.3,748.5
1732551016.298584470,true,227.5,3.3,753.3
1732551016.308230400,true,227.5,3.3,753.3
1732551016.318486130,true,227.5,3.3,743.6
1732551016.328229098,true,227.5,3.3,743.6
1732551016.338477426,true,227.5,3.3,743.6
1732551016.348233123,true,226.7,3.3,738.9
1732551016.358407279,true,227.6,3.3,747.8
1732551016.368584704,true,227.6,3.3,747.8
1732551016.378406096,true,227.6,3.3,747.8
1732551016.388725944,true,226.8,3.3,743.0
1732551016.398407596,true,227.6,3.3,754.7
1732551016.408583748,true,227.6,3.3,754.7
1732551016.418313173,true,227.6,3.3,754.7
1732551016.428583344,true,226.9,3.3,749.9
1732551016.438314837,true,227.6,3.4,761.4
1732551016.448585301,true,227.6,3.4,761.4
1732551016.458313936,true,227.6,3.4,761.4
1732551016.468488632,true,226.9,3.4,756.5
1732551016.478225875,true,227.6,3.3,750.1
1732551016.488484864,true,227.6,3.3,750.1
1732551016.498236820,true,227.6,3.3,750.1
1732551016.508480964,true,227.6,3.3,750.1
1732551016.518153800,true,227.6,3.3,751.2
1732551016.528400681,true,226.9,3.3,746.4
1732551016.538145157,true,227.6,3.3,751.2
1732551016.548405223,true,227.6,3.3,751.2
1732551016.558725003,true,227.6,3.3,751.0
1732551016.568320214,true,226.9,3.3,746.2
1732551016.578585324,true,227.6,3.3,751.0
1732551016.588308218,true,227.6,3.3,751.0
1732551016.598590534,true,227.5,3.3,751.0
1732551016.608314429,true,227.5,3.3,751.0
1732551016.618586474,true,227.5,3.3,751.0
1732551016.628228938,true,227.5,3.3,751.0
1732551016.638494836,true,227.5,3.3,754.5
1732551016.648236549,true,226.7,3.3,749.6
1732551016.658484808,true,227.5,3.3,754.5
1732551016.668227985,true,227.5,3.3,754.5
1732551016.678418987,true,227.5,3.3,751.7
1732551016.688148906,true,227.5,3.3,751.7
1732551016.698413656,true,227.5,3.3,751.7
1732551016.708153085,true,227.5,3.3,751.7
1732551016.718406581,true,227.5,3.3,755.1
1732551016.728067453,true,226.7,3.3,750.3
1732551016.738311479,true,228.2,3.3,760.0
1732551016.748078323,true,226.7,3.3,750.3
1732551016.758320885,true,227.6,3.4,761.5
1732551016.768583071,true,227.6,3.4,761.5
1732551016.778312226,true,227.6,3.4,761.5
1732551016.788484276,true,226.9,3.4,756.6
1732551016.798227693,true,227.6,3.3,747.6
1732551016.808479709,true,226.9,3.3,742.9
1732551016.818223423,true,227.6,3.3,747.6
1732551016.828495920,true,227.6,3.3,747.6
1732551016.838147407,true,227.7,3.4,762.2
1732551016.848403336,true,226.9,3.4,757.4
1732551016.858150691,true,227.7,3.4,762.2
1732551016.868400371,true,226.9,3.4,757.4
1732551016.878147957,true,227.6,3.4,759.2
1732551016.888322653,true,227.6,3.4,759.2
1732551016.898067366,true,227.6,3.4,759.2
1732551016.908311135,true,226.9,3.3,754.4
1732551016.918064460,true,227.6,3.4,760.2
1732551016.928315707,true,227.6,3.4,760.2
1732551016.938589470,true,227.6,3.4,760.2
1732551016.948230243,true,226.9,3.3,755.4
1732551016.958478893,true,227.5,3.3,749.3
1732551016.968232390,true,227.5,3.3,749.3
1732551016.978480356,true,227.5,3.3,749.3
1732551016.988231412,true,227.5,3.3,749.3
1732551016.998404584,true,227.5,3.3,753.5
1732551017.008151285,true,227.5,3.3,753.5
1732551017.018416670,true,227.5,3.3,753.5
1732551017.028147217,true,227.5,3.3,753.5
1732551017.038402097,true,227.4,3.4,759.1
1732551017.048071601,true,227.4,3.4,759.1
1732551017.058314377,true,227.4,3.4,759.1
1732551017.068059073,true,227.4,3.4,759.1
1732551017.078313912,true,227.5,3.3,745.3
1732551017.088062546,true,227.5,3.3,745.3
1732551017.098235133,true,227.5,3.3,745.3
1732551017.107894582,true,227.5,3.3,745.3
1732551017.118234697,true,227.6,3.3,750.5
1732551017.127899387,true,226.9,3.3,745.7
1732551017.138230179,true,227.6,3.3,750.5
1732551017.147895463,true,226.9,3.3,745.7
1732551017.158138915,true,227.7,3.3,748.4
1732551017.167894570,true,227.7,3.3,748.4
1732551017.178158056,true,227.0,3.3,743.6
1732551017.188399229,true,227.7,3.3,748.4
1732551017.198141976,true,227.6,3.4,762.7
1732551017.208318969,true,226.9,3.4,757.8
1732551017.218055363,true,227.6,3.4,762.7
1732551017.228321301,true,226.9,3.4,757.8
1732551017.238053821,true,227.6,3.3,747.2
1732551017.248318591,true,227.6,3.3,747.2
1732551017.258058171,true,227.6,3.3,747.2
1732551017.268245256,true,226.9,3.3,742.4
1732551017.277887172,true,227.5,3.4,759.0
1732551017.288222465,true,227.5,3.4,759.0
1732551017.297898665,true,227.5,3.4,759.0
1732551017.308233395,true,227.5,3.4,759.0
1732551017.317891865,true,227.5,3.4,760.8
1732551017.328145919,true,226.7,3.3,756.0
1732551017.337890941,true,227.5,3.4,760.8
1732551017.348147224,true,227.5,3.4,760.8
1732551017.357813437,true,227.6,3.4,760.4
1732551017.368068657,true,227.6,3.4,760.4
1732551017.378318909,true,227.6,3.4,760.4
1732551017.388066296,true,226.9,3.3,755.5
1732551017.398319468,true,227.6,3.3,747.0
1732551017.408062192,true,227.6,3.3,747.0
1732551017.418320648,true,227.6,3.3,747.0
1732551017.427908064,true,227.6,3.3,747.0
1732551017.438235843,true,227.6,3.3,753.1
1732551017.447889847,true,226.8,3.3,748.3
1732551017.458227196,true,227.6,3.3,753.1
1732551017.467894776,true,227.6,3.3,753.1
1732551017.478149243,true,227.5,3.4,761.1
1732551017.487893307,true,227.5,3.4,761.1
1732551017.498150058,true,227.5,3.4,761.1
1732551017.507886498,true,226.8,3.3,756.3
1732551017.518151028,true,227.5,3.3,756.9
1732551017.527815991,true,227.5,3.3,756.9
1732551017.538066071,true,227.5,3.3,756.9
1732551017.547814661,true,227.5,3.3,756.9
1732551017.558074403,true,227.5,3.3,746.7
1732551017.567819116,true,226.8,3.3,741.9
1732551017.578056747,true,227.5,3.3,746.7
1732551017.588229463,true,227.5,3.3,746.7
1732551017.597885079,true,227.5,3.4,761.8
1732551017.608230707,true,227.5,3.4,761.8
1732551017.617884727,true,227.5,3.4,761.8
1732551017.628232451,true,226.8,3.4,756.9
1732551017.637898412,true,227.6,3.4,759.5
1732551017.648149591,true,227.6,3.4,759.5
1732551017.657890134,true,227.6,3.4,759.5
1732551017.668149745,true,227.6,3.4,759.5
1732551017.677804619,true,227.6,3.3,747.2
1732551017.688065104,true,226.9,3.3,742.5
1732551017.697813909,true,227.6,3.3,747.2
1732551017.708065633,true,227.6,3.3,747.2
1732551017.717801726,true,227.7,3.3,749.1
1732551017.728066012,true,226.9,3.3,744.4
1732551017.737729045,true,227.7,3.3,749.1
1732551017.747884897,true,227.7,3.3,749.1
1732551017.757721697,true,226.9,3.3,751.8
1732551017.767896826,true,227.6,3.3,756.7
1732551017.778224355,true,227.6,3.3,756.7
1732551017.787884670,true,227.6,3.3,756.7
1732551017.798140905,true,226.8,3.3,752.9
1732551017.807892234,true,227.6,3.3,757.8
1732551017.818145397,true,227.6,3.3,757.8
1732551017.827888246,true,227.6,3.3,757.8
1732551017.838144544,true,227.6,3.4,762.1
1732551017.847801287,true,226.8,3.4,757.3
1732551017.858055886,true,227.6,3.4,762.1
1732551017.867812454,true,227.6,3.4,762.1
1732551017.878056476,true,227.6,3.3,758.3
